Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeOdd,AwayOdd,Game_Code,HomeTeamShort,VisitorTeamShort
2018-10-16,Boston Celtics,Philadelphia 76ers,105,87,1.46,2.75,16102018_phi_bos,bos,phi
2018-10-16,Golden State Warriors,Oklahoma City Thunder,108,100,1.09,8.21,16102018_okc_gs,gs,okc
2018-10-17,Charlotte Hornets,Milwaukee Bucks,112,113,2.36,1.61,17102018_mil_cha,cha,mil
2018-10-17,Detroit Pistons,Brooklyn Nets,103,100,1.39,3.04,17102018_bkn_det,det,bkn
2018-10-17,Houston Rockets,New Orleans Pelicans,112,131,1.28,3.8,17102018_no_hou,hou,no
2018-10-17,Indiana Pacers,Memphis Grizzlies,111,83,1.33,3.43,17102018_mem_ind,ind,mem
2018-10-17,Los Angeles Clippers,Denver Nuggets,98,107,2.11,1.75,17102018_den_lac,lac,den
2018-10-17,New York Knicks,Atlanta Hawks,126,107,1.6,2.39,17102018_atl_ny,ny,atl
2018-10-17,Orlando Magic,Miami Heat,104,101,2.13,1.74,17102018_mia_orl,orl,mia
2018-10-17,Phoenix Suns,Dallas Mavericks,121,100,2.18,1.7,17102018_dal_phx,phx,dal
2018-10-17,Sacramento Kings,Utah Jazz,117,123,4.13,1.25,17102018_uta_sac,sac,uta
2018-10-17,San Antonio Spurs,Minnesota Timberwolves,112,108,1.69,2.21,17102018_min_sa,sa,min
2018-10-17,Toronto Raptors,Cleveland Cavaliers,116,104,1.08,8.58,17102018_cle_tor,tor,cle
2018-10-18,Philadelphia 76ers,Chicago Bulls,127,108,1.1,7.68,18102018_chi_phi,phi,chi
2018-10-18,Portland Trail Blazers,Los Angeles Lakers,128,119,1.64,2.3,18102018_lal_por,por,lal
2018-10-18,Washington Wizards,Miami Heat,112,113,1.4,3.02,18102018_mia_wsh,wsh,mia
2018-10-19,Brooklyn Nets,New York Knicks,107,105,1.57,2.44,19102018_ny_bkn,bkn,ny
2018-10-19,Los Angeles Clippers,Oklahoma City Thunder,108,92,1.66,2.27,19102018_okc_lac,lac,okc
2018-10-19,Memphis Grizzlies,Atlanta Hawks,131,117,1.34,3.32,19102018_atl_mem,mem,atl
2018-10-19,Milwaukee Bucks,Indiana Pacers,118,101,1.56,2.47,19102018_ind_mil,mil,ind
2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,131,123,1.26,4.0,19102018_cle_min,min,cle
2018-10-19,New Orleans Pelicans,Sacramento Kings,149,129,1.12,6.59,19102018_sac_no,no,sac
2018-10-19,Orlando Magic,Charlotte Hornets,88,120,2.02,1.81,19102018_cha_orl,orl,cha
2018-10-19,Toronto Raptors,Boston Celtics,113,101,1.66,2.27,19102018_bos_tor,tor,bos
2018-10-19,Utah Jazz,Golden State Warriors,123,124,2.16,1.71,19102018_gs_uta,uta,gs
2018-10-20,Chicago Bulls,Detroit Pistons,116,118,2.61,1.52,20102018_det_chi,chi,det
2018-10-20,Dallas Mavericks,Minnesota Timberwolves,140,136,1.8,2.04,20102018_min_dal,dal,min
2018-10-20,Denver Nuggets,Phoenix Suns,119,91,1.17,5.35,20102018_phx_den,den,phx
2018-10-20,Indiana Pacers,Brooklyn Nets,132,112,1.25,4.04,20102018_bkn_ind,ind,bkn
2018-10-20,Los Angeles Lakers,Houston Rockets,115,124,2.33,1.62,20102018_hou_lal,lal,hou
2018-10-20,Miami Heat,Charlotte Hornets,112,113,1.61,2.37,20102018_cha_mia,mia,cha
2018-10-20,New York Knicks,Boston Celtics,101,103,4.72,1.2,20102018_bos_ny,ny,bos
2018-10-20,Philadelphia 76ers,Orlando Magic,116,115,1.07,9.08,20102018_orl_phi,phi,orl
2018-10-20,Portland Trail Blazers,San Antonio Spurs,121,108,1.51,2.61,20102018_sa_por,por,sa
2018-10-20,Washington Wizards,Toronto Raptors,113,117,1.78,2.06,20102018_tor_wsh,wsh,tor
2018-10-21,Cleveland Cavaliers,Atlanta Hawks,111,133,1.26,3.94,21102018_atl_cle,cle,atl
2018-10-21,Denver Nuggets,Golden State Warriors,100,98,2.66,1.5,21102018_gs_den,den,gs
2018-10-21,Los Angeles Clippers,Houston Rockets,115,112,1.76,2.1,21102018_hou_lac,lac,hou
